County,TotalPop,Income,Hispanic,White,Black,Asian,Poverty,Unemployment,Professional,Service,Drive
Dawes County,8972,93476.0,0.09,1.96,0.02,0.02,0.32,0.02,0.9,0.45,1.56
Dawson County,69741,933410.0,0.59,1.73,0.08,0.01,0.33,0.1,0.73,0.39,1.84
Day County,5524,128626.0,0.11,4.7,0.0,0.01,0.88,0.09,1.97,0.97,3.92
De Baca County,2016,31439.0,2.28,2.59,0.07,0.0,1.13,0.33,1.63,0.84,3.51
De Soto Parish,27164,262163.0,0.06,1.33,1.15,0.0,0.74,0.29,0.66,0.46,2.14
De Witt County,16176,281348.0,0.07,2.75,0.01,0.0,0.41,0.21,0.88,0.54,2.61
DeKalb County,986201,11646639.0,0.19,0.9,0.74,0.09,0.35,0.16,0.78,0.32,1.45
DeSoto County,208942,2303820.0,0.18,1.29,0.48,0.02,0.3,0.14,0.55,0.34,1.71
DeWitt County,20474,244565.0,0.81,1.43,0.18,0.0,0.38,0.16,0.75,0.44,2.07
Deaf Smith County,18947,209057.0,1.5,0.56,0.01,0.01,0.4,0.1,0.57,0.26,1.79
Dearborn County,49564,646403.0,0.02,1.94,0.02,0.01,0.2,0.11,0.62,0.36,1.73
Decatur County,76180,941456.0,0.12,2.33,0.38,0.02,0.54,0.17,0.85,0.5,2.29
Deer Lodge County,9131,130452.0,0.11,2.97,0.01,0.02,0.62,0.08,0.96,0.84,2.41
Defiance County,38311,494593.0,0.23,2.03,0.04,0.01,0.27,0.12,0.6,0.38,2.04
Del Norte County,27442,273636.0,0.47,1.58,0.03,0.07,0.67,0.29,0.76,0.83,1.86
Delaware County,977500,16446626.0,0.08,1.75,0.39,0.1,0.32,0.17,0.95,0.45,1.81
Delta County,71784,885002.0,0.18,2.44,0.03,0.02,0.46,0.21,0.84,0.52,2.2
Denali Borough,2303,83295.0,0.03,3.59,0.01,0.2,0.67,0.08,1.0,1.53,1.52
Dent County,15566,144656.0,0.03,2.43,0.01,0.01,0.6,0.2,0.69,0.56,2.11
Denton County,781321,12022401.0,0.34,1.04,0.17,0.15,0.16,0.08,0.8,0.25,1.42
Denver County,678467,9277980.0,0.6,1.19,0.18,0.07,0.32,0.1,0.95,0.37,1.47
Des Moines County,39876,550899.0,0.08,2.43,0.16,0.02,0.41,0.15,0.79,0.49,2.29
Deschutes County,175321,1449064.0,0.1,1.21,0.01,0.01,0.17,0.08,0.5,0.26,1.02
Desha County,12094,145433.0,0.25,1.85,1.99,0.0,1.42,0.55,1.11,0.72,3.49
Deuel County,6183,169662.0,0.22,4.57,0.0,0.0,0.48,0.12,1.65,0.66,3.71
Dewey County,10613,240752.0,0.2,2.75,0.01,0.02,1.09,0.58,1.7,0.79,3.79
Dickens County,2224,43088.0,1.24,3.09,0.14,0.0,0.75,0.67,1.67,0.93,2.99
Dickenson County,15181,124502.0,0.03,2.57,0.02,0.0,0.59,0.15,0.7,0.67,2.33
Dickey County,5041,178085.0,0.19,5.56,0.08,0.02,0.39,0.13,2.05,0.95,4.16
Dickinson County,61856,921270.0,0.08,2.74,0.02,0.01,0.34,0.15,0.97,0.47,2.39
Dickson County,51341,480940.0,0.06,1.75,0.07,0.01,0.27,0.09,0.56,0.31,1.6
Dillingham Census Area,4974,117092.0,0.14,0.69,0.02,0.06,0.64,0.47,1.75,0.57,1.39
Dillon County,31073,189276.0,0.06,0.88,0.9,0.0,0.59,0.18,0.41,0.37,1.42
Dimmit County,10822,55069.0,1.55,0.29,0.0,0.0,0.64,0.31,0.45,0.47,1.51
Dinwiddie County,28033,300454.0,0.08,1.34,0.67,0.01,0.41,0.19,0.56,0.5,1.78
District of Columbia,672391,14679725.0,0.26,0.91,1.32,0.09,0.49,0.26,1.5,0.47,0.98
Divide County,2378,54223.0,0.05,3.92,0.04,0.06,0.55,0.1,1.51,0.68,2.82
Dixie County,16323,111626.0,0.08,1.54,0.14,0.01,0.45,0.12,0.46,0.33,1.41
Dixon County,5765,114210.0,0.39,3.01,0.01,0.0,0.36,0.11,1.04,0.58,2.83
Doddridge County,8570,88485.0,0.01,2.23,0.03,0.01,0.36,0.16,0.59,0.43,1.81
Dodge County,165957,2178676.0,0.15,2.07,0.13,0.01,0.29,0.12,0.69,0.4,2.0
Dolores County,1736,40352.0,0.26,5.26,0.0,0.0,0.81,0.02,1.51,1.4,3.47
Doniphan County,7790,151045.0,0.11,3.46,0.15,0.01,0.52,0.18,1.14,0.76,3.14
Donley County,3433,93269.0,0.62,4.8,0.19,0.02,0.86,0.24,1.81,1.23,4.33
Dooly County,14053,98168.0,0.19,0.89,1.03,0.0,0.51,0.2,0.46,0.44,1.72
Door County,27443,521805.0,0.09,3.1,0.02,0.02,0.28,0.15,1.08,0.59,2.59
Dorado Municipio,37722,198608.0,1.84,0.02,0.0,0.0,0.68,0.39,0.65,0.41,1.53
Dorchester County,184102,1972124.0,0.09,1.22,0.46,0.03,0.23,0.13,0.65,0.32,1.55
Dougherty County,91522,980950.0,0.09,0.78,2.0,0.02,0.96,0.5,0.79,0.67,2.22
Douglas County,1440952,23065001.0,0.23,1.73,0.21,0.07,0.3,0.12,0.92,0.39,1.86
Doña Ana County,213849,1591828.0,1.32,0.51,0.04,0.02,0.54,0.19,0.59,0.47,1.55
Drew County,18620,186846.0,0.08,1.73,0.85,0.0,0.68,0.25,0.87,0.51,2.16
DuPage County,931826,19645745.0,0.32,1.58,0.1,0.26,0.15,0.12,1.07,0.3,1.79
Dubois County,42379,419499.0,0.11,1.51,0.01,0.01,0.16,0.05,0.52,0.24,1.45
Dubuque County,96571,1555050.0,0.07,2.44,0.09,0.03,0.35,0.11,0.91,0.48,2.2
Duchesne County,20259,181620.0,0.11,1.28,0.0,0.01,0.18,0.08,0.44,0.23,1.2
Dukes County,17275,276364.0,0.04,2.01,0.09,0.01,0.19,0.07,1.04,0.38,1.7
Dundy County,2017,44653.0,0.72,4.2,0.0,0.0,0.52,0.18,2.24,0.59,4.2
Dunklin County,30905,337068.0,0.22,2.59,0.34,0.02,0.86,0.23,0.89,0.65,2.67
Dunn County,48609,510321.0,0.03,1.71,0.01,0.04,0.23,0.08,0.6,0.31,1.43
Duplin County,59350,409907.0,0.37,0.96,0.48,0.0,0.47,0.17,0.47,0.33,1.45
