County,TotalPop,Income,Hispanic,White,Black,Asian,Poverty,Unemployment,Professional,Service,Drive
Pittsburg County,44673,535123.0,0.14,2.01,0.11,0.01,0.51,0.21,0.8,0.56,2.41
Pittsylvania County,61970,712814.0,0.08,1.88,0.57,0.01,0.37,0.16,0.63,0.47,2.16
Piute County,1860,41750.0,0.19,5.15,0.01,0.0,0.69,0.1,2.08,1.27,4.36
Placer County,374985,6895002.0,0.3,1.71,0.03,0.12,0.2,0.13,0.97,0.37,1.75
Plaquemines Parish,23394,324510.0,0.16,1.82,1.05,0.2,0.87,0.13,0.87,0.65,2.68
Platte County,138477,1987090.0,0.18,1.66,0.1,0.04,0.16,0.08,0.79,0.28,1.66
Pleasants County,7527,101506.0,0.02,2.6,0.0,0.0,0.43,0.19,0.73,0.47,2.37
Plumas County,18724,359342.0,0.29,3.17,0.02,0.04,0.4,0.39,1.32,0.9,2.81
Plymouth County,534141,8654048.0,0.08,1.61,0.18,0.02,0.17,0.12,0.74,0.38,1.57
Pocahontas County,15546,292779.0,0.12,4.25,0.06,0.01,0.73,0.22,1.36,0.79,3.44
Poinsett County,24098,260146.0,0.08,2.52,0.18,0.0,0.62,0.17,0.76,0.52,2.41
Pointe Coupee Parish,22271,260157.0,0.08,1.69,0.88,0.0,0.45,0.21,0.68,0.53,2.2
Polk County,1456426,16745300.0,0.29,1.6,0.22,0.05,0.36,0.16,0.69,0.43,1.8
Ponce Municipio,148863,735164.0,3.0,0.01,0.0,0.0,1.61,0.52,0.88,0.68,2.53
Pondera County,6081,88404.0,0.07,2.47,0.01,0.01,0.67,0.24,1.2,0.69,2.22
Pontotoc County,69364,708753.0,0.13,1.61,0.16,0.02,0.44,0.13,0.65,0.39,2.01
Pope County,78664,787406.0,0.11,1.93,0.05,0.02,0.34,0.14,0.67,0.39,1.8
Poquoson city,12022,266870.0,0.06,2.31,0.03,0.03,0.11,0.12,1.25,0.29,2.18
Portage County,232451,2656764.0,0.04,1.92,0.06,0.04,0.32,0.14,0.68,0.38,1.75
Porter County,167391,2051074.0,0.17,1.51,0.06,0.02,0.2,0.11,0.65,0.29,1.52
Portsmouth city,95536,1346607.0,0.14,1.18,1.74,0.04,0.62,0.34,0.89,0.77,2.63
Posey County,25599,426368.0,0.03,2.62,0.05,0.02,0.26,0.1,0.84,0.49,2.43
Pottawatomie County,94802,977897.0,0.11,1.6,0.06,0.01,0.35,0.14,0.68,0.4,1.72
Pottawattamie County,93287,1750384.0,0.25,2.84,0.04,0.02,0.38,0.15,0.96,0.55,2.69
Potter County,140618,1714279.0,0.89,1.49,0.24,0.09,0.57,0.14,0.67,0.64,2.21
Powder River County,1610,51136.0,0.16,5.79,0.0,0.0,0.51,0.15,2.46,0.83,4.34
Powell County,19201,166281.0,0.04,1.96,0.01,0.02,0.39,0.07,0.66,0.35,1.51
Power County,7667,95220.0,0.62,1.81,0.01,0.0,0.38,0.25,0.79,0.31,1.92
Poweshiek County,18428,275581.0,0.08,2.53,0.04,0.04,0.28,0.12,0.84,0.47,2.05
Powhatan County,28364,424096.0,0.04,1.39,0.29,0.0,0.09,0.07,0.72,0.27,1.5
Prairie County,9634,175878.0,0.03,3.65,0.43,0.0,0.65,0.27,1.34,0.62,3.06
Pratt County,9670,164241.0,0.21,2.86,0.01,0.0,0.32,0.12,1.05,0.52,2.51
Preble County,41328,644718.0,0.02,2.81,0.02,0.01,0.36,0.17,0.84,0.55,2.44
Prentiss County,25389,166528.0,0.03,1.56,0.35,0.0,0.47,0.16,0.42,0.41,1.68
Presidio County,7191,62646.0,2.16,0.49,0.0,0.13,0.68,0.27,0.76,0.76,1.48
Presque Isle County,12854,269001.0,0.06,4.48,0.02,0.02,0.65,0.49,1.36,0.9,3.8
Preston County,33760,371235.0,0.03,2.24,0.07,0.0,0.36,0.2,0.62,0.44,1.91
Price County,13566,278992.0,0.07,4.18,0.03,0.03,0.52,0.13,1.19,0.79,3.51
Prince Edward County,22903,184084.0,0.09,1.4,0.62,0.03,0.36,0.11,0.64,0.68,1.49
Prince George County,37704,503836.0,0.14,1.04,0.57,0.04,0.22,0.16,0.69,0.28,1.52
Prince George's County,905161,17650782.0,0.41,0.31,1.53,0.09,0.23,0.18,0.91,0.5,1.6
Prince William County,450763,8753540.0,0.39,0.85,0.35,0.14,0.12,0.09,0.81,0.32,1.37
Prince of Wales-Hyder Census Area,6473,160177.0,0.19,1.94,0.01,0.05,0.73,0.65,1.44,0.85,2.39
Providence County,633704,7690389.0,0.48,1.37,0.19,0.09,0.39,0.18,0.75,0.48,1.71
Prowers County,12084,218540.0,1.48,2.55,0.01,0.04,0.73,0.32,1.37,0.72,3.08
Pueblo County,163368,2369172.0,1.41,1.72,0.06,0.02,0.8,0.33,0.98,0.74,2.61
Pulaski County,574132,6441300.0,0.13,1.4,0.7,0.04,0.44,0.17,0.82,0.45,1.91
Pushmataha County,11132,106391.0,0.09,1.93,0.02,0.01,0.52,0.22,0.78,0.48,2.1
Putnam County,407735,4987635.0,0.15,1.71,0.12,0.02,0.3,0.13,0.67,0.37,1.65
Quay County,8447,87683.0,1.57,1.81,0.05,0.02,0.76,0.13,1.16,0.8,2.71
Quebradillas Municipio,24548,62743.0,1.61,0.01,0.01,0.0,0.86,0.22,0.41,0.35,1.41
Queen Anne's County,49071,971000.0,0.08,1.93,0.16,0.01,0.15,0.09,0.93,0.33,1.75
Queens County,2339280,42969932.0,0.73,0.74,0.52,0.66,0.36,0.19,0.93,0.67,0.93
Quitman County,9677,105483.0,0.04,1.17,2.83,0.05,1.39,0.86,0.99,1.1,3.34
Rabun County,16354,198406.0,0.24,2.67,0.05,0.02,0.67,0.19,1.01,0.58,2.31
Racine County,195101,2670270.0,0.29,1.63,0.25,0.03,0.29,0.15,0.73,0.4,1.89
Radford city,17380,89963.0,0.05,1.43,0.17,0.03,0.75,0.12,0.54,0.47,1.32
Rains County,11246,98653.0,0.16,1.52,0.03,0.0,0.24,0.1,0.47,0.3,1.43
Raleigh County,77097,727624.0,0.03,1.9,0.19,0.02,0.4,0.17,0.64,0.51,1.82
Ralls County,10208,153915.0,0.03,2.82,0.04,0.01,0.38,0.13,0.8,0.44,2.49
Ramsey County,549467,8340983.0,0.18,1.59,0.3,0.34,0.4,0.15,1.07,0.47,1.81
Randall County,130552,1925973.0,0.44,1.62,0.07,0.03,0.22,0.08,0.81,0.39,1.88
Randolph County,302248,3054727.0,0.13,1.95,0.17,0.02,0.4,0.14,0.61,0.39,1.93
Rankin County,149645,1678027.0,0.06,1.38,0.33,0.02,0.2,0.08,0.7,0.26,1.56
Ransom County,5411,187180.0,0.09,5.28,0.04,0.04,0.38,0.14,1.72,1.04,3.96
Rapides Parish,132080,1290963.0,0.06,1.4,0.95,0.04,0.54,0.21,0.76,0.61,2.01
Rappahannock County,7359,122110.0,0.09,2.46,0.09,0.03,0.24,0.07,1.09,0.48,2.02
Ravalli County,41387,447339.0,0.07,2.27,0.0,0.01,0.39,0.15,0.84,0.47,1.64
Rawlins County,2520,50893.0,0.24,3.64,0.02,0.01,0.35,0.06,1.66,0.52,2.75
Ray County,22859,228497.0,0.04,1.65,0.02,0.0,0.29,0.09,0.47,0.27,1.45
Reagan County,3735,59760.0,1.88,0.77,0.02,0.0,0.48,0.1,0.53,0.24,2.15
Real County,3358,36493.0,0.59,2.38,0.01,0.0,0.6,0.18,0.86,0.7,1.86
Red Lake County,4017,105547.0,0.17,4.61,0.01,0.02,0.47,0.15,1.51,0.68,4.09
Red River County,12353,143326.0,0.22,2.48,0.46,0.0,0.53,0.3,0.92,0.58,2.67
Red River Parish,8723,80249.0,0.05,1.28,0.88,0.0,0.48,0.11,0.62,0.45,1.9
Red Willow County,10870,136340.0,0.12,2.57,0.03,0.01,0.36,0.13,0.8,0.56,2.25
Redwood County,15430,310024.0,0.13,3.41,0.03,0.12,0.47,0.12,1.27,0.76,2.98
Reeves County,14791,251685.0,2.55,0.63,0.13,0.03,0.47,0.29,0.73,0.64,2.8
Refugio County,7293,100249.0,1.36,1.17,0.13,0.0,0.46,0.22,0.66,0.7,2.27
Reno County,63360,812715.0,0.24,2.28,0.07,0.01,0.38,0.14,0.8,0.53,2.2
Rensselaer County,159800,2631972.0,0.13,2.19,0.17,0.06,0.38,0.16,1.01,0.47,2.08
Renville County,17341,408798.0,0.28,3.63,0.02,0.02,0.4,0.1,1.34,0.59,3.27
Republic County,4705,133932.0,0.1,6.14,0.01,0.03,0.75,0.15,2.47,0.96,5.14
Reynolds County,6361,78783.0,0.05,2.96,0.06,0.0,0.54,0.24,0.78,0.71,2.4
Rhea County,32478,251307.0,0.08,1.69,0.04,0.01,0.39,0.14,0.49,0.34,1.49
Rice County,75119,959455.0,0.19,1.79,0.08,0.04,0.26,0.09,0.75,0.37,1.58
Rich County,2307,52917.0,0.39,3.85,0.0,0.0,0.78,0.08,1.27,0.52,3.05
Richardson County,8045,147468.0,0.06,3.49,0.0,0.01,0.52,0.16,1.28,0.59,3.03
Richland County,587719,6654716.0,0.09,1.39,0.78,0.04,0.46,0.2,0.78,0.49,1.85
Richland Parish,20619,230783.0,0.06,1.81,1.0,0.01,0.76,0.19,0.73,0.7,2.58
Richmond County,731836,10352378.0,0.32,1.22,0.57,0.13,0.42,0.18,0.82,0.48,1.46
Richmond city,220892,3189229.0,0.16,1.27,1.4,0.06,0.74,0.27,1.18,0.67,2.06
Riley County,75696,619079.0,0.13,1.34,0.1,0.09,0.44,0.11,0.69,0.39,1.25
Rincón Municipio,14526,53239.0,1.85,0.15,0.0,0.0,1.0,0.3,0.52,0.52,1.54
Ringgold County,4986,102641.0,0.08,3.87,0.0,0.03,0.43,0.19,1.33,0.72,3.21
Rio Arriba County,39455,295006.0,1.63,0.29,0.01,0.01,0.61,0.21,0.85,0.58,1.93
Rio Blanco County,6557,125613.0,0.3,2.69,0.01,0.0,0.34,0.18,0.86,0.5,2.06
Rio Grande County,11430,114599.0,1.21,1.32,0.01,0.01,0.49,0.24,0.7,0.45,2.08
Ripley County,42179,454566.0,0.03,2.27,0.01,0.01,0.37,0.16,0.65,0.43,1.95
Ritchie County,10005,122752.0,0.01,2.96,0.0,0.0,0.56,0.26,0.59,0.63,2.56
Riverside County,2355002,28293894.0,0.91,0.74,0.11,0.1,0.31,0.19,0.55,0.42,1.47
Roane County,67274,640265.0,0.04,1.96,0.04,0.01,0.35,0.18,0.66,0.4,1.76
Roanoke County,93419,1174747.0,0.06,1.67,0.11,0.05,0.16,0.09,0.79,0.3,1.66
Roanoke city,99572,962010.0,0.13,1.4,0.63,0.07,0.5,0.15,0.74,0.51,1.8
Roberts County,11139,288128.0,0.17,3.05,0.02,0.01,0.67,0.25,1.75,0.82,3.46
Robertson County,87463,1050323.0,0.21,1.76,0.26,0.01,0.33,0.17,0.69,0.38,1.88
Robeson County,134187,1027955.0,0.19,0.63,0.58,0.02,0.69,0.22,0.59,0.45,2.0
Rock County,172040,2222874.0,0.2,2.04,0.11,0.03,0.38,0.16,0.71,0.43,1.98
Rock Island County,146205,1988898.0,0.38,1.89,0.32,0.07,0.44,0.23,0.75,0.57,2.22
Rockbridge County,22440,204700.0,0.03,1.65,0.06,0.01,0.27,0.09,0.6,0.3,1.47
Rockcastle County,16815,147672.0,0.02,2.33,0.0,0.0,0.48,0.19,0.65,0.31,2.05
Rockdale County,88482,829434.0,0.18,0.64,0.82,0.03,0.27,0.14,0.56,0.3,1.29
Rockingham County,472698,7647878.0,0.09,1.94,0.1,0.03,0.19,0.11,0.83,0.34,1.83
Rockland County,325027,5864872.0,0.35,1.28,0.21,0.12,0.27,0.13,0.91,0.37,1.38
Rockwall County,90414,1058951.0,0.2,0.89,0.07,0.03,0.07,0.06,0.58,0.16,0.99
Roger Mills County,3734,51286.0,0.18,2.25,0.0,0.0,0.49,0.09,0.79,0.36,2.12
Rogers County,90098,1743401.0,0.14,2.22,0.03,0.03,0.32,0.16,1.04,0.49,2.65
Rolette County,14657,152182.0,0.01,0.81,0.03,0.01,0.84,0.19,1.09,0.52,2.31
Rooks County,5148,95214.0,0.1,3.67,0.03,0.02,0.44,0.13,1.34,0.76,3.1
Roosevelt County,30531,321760.0,0.72,1.31,0.04,0.01,0.68,0.27,0.84,0.63,1.97
Roscommon County,23934,383875.0,0.06,4.0,0.01,0.01,0.82,0.55,1.11,0.84,3.3
Roseau County,15537,282479.0,0.04,3.0,0.03,0.07,0.29,0.08,0.87,0.44,2.47
Rosebud County,9292,224641.0,0.2,2.8,0.0,0.05,0.72,0.32,1.44,0.95,3.07
Ross County,77125,802459.0,0.03,1.97,0.12,0.02,0.42,0.18,0.65,0.47,1.84
Routt County,24359,551132.0,0.22,2.96,0.02,0.03,0.35,0.1,1.11,0.75,2.29
Rowan County,163332,1540050.0,0.16,1.52,0.35,0.02,0.39,0.19,0.62,0.39,1.72
Runnels County,10266,178381.0,1.25,2.49,0.04,0.08,0.53,0.11,1.25,0.5,3.24
Rush County,19884,332188.0,0.07,3.36,0.04,0.01,0.52,0.17,0.98,0.53,2.9
Rusk County,67237,845291.0,0.32,1.97,0.33,0.01,0.41,0.13,0.69,0.47,2.21
Russell County,110923,1060822.0,0.07,1.77,0.52,0.01,0.51,0.22,0.68,0.43,2.08
Rutherford County,364979,3519756.0,0.12,1.27,0.23,0.04,0.25,0.1,0.55,0.27,1.4
Rutland County,59676,1076360.0,0.05,3.21,0.02,0.03,0.37,0.16,1.16,0.62,2.7
Río Grande Municipio,51768,250842.0,2.11,0.01,0.0,0.0,0.81,0.48,0.58,0.55,1.74
Sabana Grande Municipio,23610,95112.0,2.54,0.0,0.0,0.0,1.32,0.6,0.85,0.68,2.12
Sabine County,10429,100488.0,0.11,2.48,0.22,0.0,0.59,0.2,0.57,0.54,2.49
Sabine Parish,24145,299167.0,0.11,1.95,0.51,0.01,0.58,0.29,0.82,0.49,2.28
Sac County,9936,217969.0,0.11,3.85,0.03,0.0,0.37,0.16,1.2,0.73,3.37
Sacramento County,1495400,20357843.0,0.47,1.03,0.19,0.29,0.36,0.19,0.8,0.42,1.62
Sagadahoc County,35149,494287.0,0.03,2.16,0.01,0.01,0.26,0.09,0.84,0.39,1.81
Saginaw County,193803,2493391.0,0.26,1.89,0.63,0.03,0.59,0.28,0.78,0.71,2.37
Saguache County,6338,70196.0,1.23,1.78,0.0,0.03,0.66,0.24,0.97,0.43,2.25
Salem County,63776,1524011.0,0.33,2.68,0.6,0.04,0.59,0.33,1.14,0.67,3.11
Salem city,25521,269483.0,0.07,1.68,0.13,0.04,0.18,0.09,0.71,0.38,1.61
Salinas Municipio,29239,108745.0,2.38,0.0,0.0,0.01,1.34,0.25,0.44,0.7,2.03
Saline County,233351,2849591.0,0.16,1.97,0.1,0.03,0.29,0.12,0.73,0.41,1.94
Salt Lake County,1106700,15129884.0,0.33,1.38,0.03,0.07,0.21,0.08,0.75,0.28,1.41
Saluda County,20228,208362.0,0.39,1.44,0.61,0.0,0.5,0.17,0.59,0.44,1.93
Sampson County,63664,409966.0,0.32,0.89,0.44,0.01,0.42,0.16,0.43,0.28,1.42
San Augustine County,8403,100198.0,0.25,2.43,0.77,0.0,0.88,0.48,0.98,0.54,3.0
San Benito County,58671,899843.0,1.06,0.72,0.01,0.04,0.18,0.17,0.56,0.35,1.51
San Bernardino County,2121220,21685399.0,0.89,0.55,0.13,0.11,0.33,0.18,0.47,0.34,1.36
San Diego County,3283665,46825138.0,0.63,0.91,0.09,0.2,0.25,0.14,0.76,0.38,1.45
San Francisco County,864263,19234231.0,0.34,0.95,0.13,0.72,0.28,0.13,1.21,0.39,0.78
San Germán Municipio,32937,112016.0,2.11,0.01,0.0,0.0,1.09,0.18,0.69,0.39,1.84
San Jacinto County,27436,175403.0,0.18,1.1,0.15,0.0,0.26,0.09,0.35,0.25,1.16
San Joaquin County,724153,7777442.0,0.83,0.64,0.13,0.23,0.37,0.21,0.48,0.38,1.47
San Juan County,160204,2108249.0,0.46,1.23,0.01,0.02,0.52,0.24,0.77,0.54,2.1
San Juan Municipio,355181,2853992.0,3.39,0.05,0.01,0.01,1.53,0.6,1.18,0.85,2.31
San Lorenzo Municipio,38689,163228.0,2.32,0.0,0.0,0.0,1.16,0.34,0.69,0.47,1.98
San Luis Obispo County,280119,3479634.0,0.42,1.3,0.05,0.06,0.29,0.09,0.75,0.38,1.35
San Mateo County,763450,17906235.0,0.47,0.88,0.04,0.54,0.14,0.09,1.03,0.32,1.42
San Miguel County,36007,442076.0,1.62,1.32,0.02,0.03,0.76,0.14,1.05,0.75,1.95
San Patricio County,66867,889989.0,1.34,0.96,0.03,0.02,0.36,0.12,0.64,0.48,2.03
San Saba County,5851,76038.0,1.08,2.18,0.09,0.0,0.62,0.11,0.96,0.59,2.32
San Sebastián Municipio,38970,126485.0,2.29,0.02,0.0,0.0,1.31,0.71,0.65,0.45,1.97
Sanborn County,2366,54677.0,0.13,4.02,0.0,0.03,0.41,0.13,1.47,0.57,3.16
Sanders County,11414,105414.0,0.08,2.28,0.0,0.01,0.6,0.18,0.82,0.58,1.79
Sandoval County,138815,1524174.0,0.7,0.78,0.03,0.02,0.33,0.18,0.72,0.38,1.55
Sandusky County,59559,759394.0,0.25,2.12,0.08,0.01,0.34,0.15,0.64,0.42,2.15
Sangamon County,198134,2972920.0,0.06,2.06,0.43,0.05,0.52,0.23,1.02,0.54,2.17
Sanilac County,41535,538605.0,0.09,2.75,0.01,0.01,0.42,0.22,0.8,0.46,2.24
Sanpete County,28892,248304.0,0.18,1.48,0.02,0.01,0.28,0.11,0.57,0.31,1.29
Santa Barbara County,442996,6488298.0,0.83,0.96,0.04,0.09,0.3,0.13,0.73,0.41,1.34
Santa Clara County,1911226,41966594.0,0.5,0.66,0.05,0.66,0.17,0.11,1.01,0.29,1.46
Santa Cruz County,319621,4321343.0,0.75,1.05,0.01,0.06,0.31,0.14,0.76,0.37,1.39
Santa Fe County,147514,3052589.0,1.63,1.53,0.02,0.04,0.47,0.18,1.54,0.65,2.62
Santa Isabel Municipio,22475,86589.0,2.22,0.01,0.0,0.0,1.1,0.23,0.67,0.55,1.98
Santa Rosa County,166778,1548307.0,0.07,1.26,0.07,0.03,0.17,0.09,0.55,0.24,1.24
Sarasota County,404839,5536164.0,0.2,1.97,0.08,0.04,0.24,0.14,0.84,0.48,1.88
Saratoga County,226632,3756315.0,0.07,2.01,0.04,0.06,0.16,0.1,0.97,0.34,1.81
Sargent County,3883,126000.0,0.17,4.76,0.06,0.02,0.2,0.05,1.53,0.63,3.76
Sarpy County,175188,3262413.0,0.22,1.99,0.09,0.06,0.14,0.08,1.04,0.39,2.15
Sauk County,63340,729331.0,0.11,1.87,0.01,0.01,0.24,0.07,0.63,0.39,1.66
Saunders County,20953,330689.0,0.05,2.28,0.01,0.01,0.21,0.05,0.85,0.4,2.01
Sawyer County,16384,266324.0,0.1,2.87,0.03,0.02,0.64,0.23,1.03,0.77,2.66
Schenectady County,155239,2687389.0,0.2,2.0,0.3,0.13,0.4,0.21,1.02,0.56,2.2
Schleicher County,3122,63432.0,1.66,1.53,0.01,0.0,0.33,0.2,0.94,0.53,2.52
Schley County,5168,83474.0,0.19,2.65,1.02,0.0,0.83,0.53,1.2,0.64,3.38
Schoharie County,31611,360044.0,0.1,2.3,0.07,0.02,0.3,0.21,0.78,0.57,1.86
Schoolcraft County,8114,115754.0,0.03,3.18,0.02,0.01,0.77,0.51,0.95,0.92,2.83
Schuyler County,29743,484392.0,0.05,3.18,0.08,0.01,0.59,0.23,1.06,0.63,2.71
Schuylkill County,144287,1929641.0,0.11,2.56,0.05,0.01,0.37,0.21,0.75,0.46,2.31
Scioto County,76871,766624.0,0.03,2.42,0.08,0.01,0.69,0.23,0.87,0.56,2.29
Scotland County,40328,318887.0,0.05,1.24,0.69,0.01,0.61,0.26,0.64,0.47,1.86
Scott County,521170,7164212.0,0.13,1.89,0.17,0.05,0.33,0.12,0.74,0.39,1.93
Scotts Bluff County,36509,551538.0,0.68,2.22,0.02,0.02,0.39,0.15,0.97,0.5,2.5
Screven County,14037,189795.0,0.06,1.92,1.52,0.02,0.8,0.2,0.99,0.6,3.03
Scurry County,17346,235371.0,0.89,1.28,0.09,0.0,0.28,0.09,0.52,0.39,1.89
Searcy County,7925,112143.0,0.06,3.56,0.01,0.07,0.68,0.14,0.97,0.35,2.77
Sebastian County,127362,1104886.0,0.3,1.4,0.15,0.09,0.47,0.11,0.58,0.38,1.66
Sedgwick County,512841,6809168.0,0.37,1.61,0.26,0.1,0.42,0.15,0.82,0.45,2.04
Seminole County,483055,5895700.0,0.36,1.26,0.25,0.07,0.28,0.14,0.84,0.33,1.66
Seneca County,90392,1221590.0,0.11,2.41,0.07,0.02,0.37,0.15,0.77,0.45,2.18
Sequatchie County,14654,149489.0,0.06,1.78,0.0,0.0,0.33,0.19,0.61,0.34,1.72
Sequoyah County,41364,327428.0,0.09,1.37,0.05,0.01,0.55,0.2,0.59,0.46,1.84
Sevier County,133690,1157170.0,0.18,1.68,0.02,0.01,0.33,0.12,0.49,0.45,1.48
Seward County,39993,488765.0,0.74,1.38,0.05,0.04,0.32,0.12,0.64,0.33,1.7
Shackelford County,3348,46685.0,0.35,2.56,0.01,0.01,0.53,0.21,1.0,0.53,2.46
Shannon County,8273,62445.0,0.04,2.28,0.0,0.0,0.74,0.19,0.59,0.36,1.95
Sharkey County,4631,66420.0,0.03,1.14,3.12,0.02,1.27,0.65,1.94,1.09,3.52
Sharp County,17041,125915.0,0.06,2.19,0.01,0.01,0.55,0.16,0.62,0.54,1.84
Shasta County,178919,2384541.0,0.25,2.17,0.03,0.07,0.48,0.18,0.87,0.57,2.19
Shawano County,41136,580410.0,0.07,2.36,0.01,0.01,0.29,0.1,0.76,0.44,2.2
Shawnee County,178392,2272318.0,0.32,1.72,0.22,0.03,0.37,0.14,0.85,0.45,1.96
Sheboygan County,115094,1502323.0,0.14,1.93,0.04,0.11,0.19,0.1,0.66,0.37,1.87
Shelby County,1351091,16540197.0,0.13,1.12,0.99,0.04,0.48,0.2,0.74,0.43,1.88
Shenandoah County,42854,491547.0,0.12,1.9,0.03,0.01,0.19,0.1,0.63,0.37,1.72
Sherburne County,92024,911932.0,0.03,1.1,0.03,0.01,0.08,0.04,0.42,0.19,1.0
Sheridan County,42673,690276.0,0.11,2.76,0.02,0.01,0.29,0.08,1.22,0.49,2.28
Sherman County,13749,249870.0,0.51,3.03,0.01,0.03,0.48,0.11,1.3,0.43,2.79
Shiawassee County,68617,839961.0,0.08,2.33,0.01,0.01,0.36,0.18,0.68,0.42,2.01
Shoshone County,12490,119360.0,0.08,2.21,0.01,0.01,0.41,0.22,0.62,0.58,1.77
Sibley County,14888,238742.0,0.24,2.38,0.02,0.02,0.23,0.12,0.78,0.39,2.13
Sierra County,14139,174619.0,0.91,2.48,0.02,0.01,0.66,0.34,1.11,0.73,2.86
Silver Bow County,34514,344210.0,0.1,2.12,0.01,0.01,0.43,0.14,0.78,0.51,1.88
Simpson County,45096,367517.0,0.02,1.44,0.49,0.01,0.44,0.15,0.55,0.33,1.74
Sioux County,40368,588745.0,0.21,1.81,0.01,0.01,0.34,0.13,0.95,0.42,1.8
Siskiyou County,43530,569996.0,0.47,2.4,0.04,0.04,0.71,0.37,1.02,0.65,2.32
Sitka City and Borough,8810,141360.0,0.14,1.44,0.02,0.14,0.21,0.11,0.89,0.32,1.38
Skagit County,121725,1705095.0,0.36,1.86,0.02,0.04,0.34,0.15,0.77,0.46,1.82
Skagway Municipality,1038,70673.0,0.66,7.57,0.02,0.39,0.54,0.76,2.86,2.29,4.05
Skamania County,11498,267535.0,0.24,3.89,0.03,0.04,0.55,0.35,1.73,0.66,3.13
Slope County,674,61250.0,0.09,13.71,0.88,0.0,1.01,0.19,7.83,0.82,9.04
Smith County,261363,2485788.0,0.32,1.21,0.33,0.02,0.33,0.12,0.58,0.37,1.59
Smyth County,31298,359110.0,0.06,2.7,0.07,0.01,0.51,0.17,0.79,0.61,2.46
Snohomish County,771904,12114980.0,0.18,1.4,0.05,0.18,0.17,0.11,0.74,0.31,1.45
Snyder County,40570,375217.0,0.05,1.86,0.02,0.01,0.2,0.07,0.53,0.38,1.41
Socorro County,17098,193941.0,1.47,1.15,0.0,0.06,1.02,0.15,1.27,0.74,2.58
Solano County,434981,6957367.0,0.56,0.85,0.31,0.32,0.26,0.19,0.7,0.45,1.64
Somerset County,485730,9648870.0,0.23,1.67,0.17,0.21,0.22,0.14,0.97,0.37,1.84
Somervell County,8650,100369.0,0.46,1.81,0.01,0.0,0.42,0.09,0.78,0.38,1.93
Sonoma County,500943,7325528.0,0.48,1.31,0.02,0.07,0.21,0.12,0.77,0.39,1.47
Southampton County,18089,216590.0,0.04,1.57,1.01,0.0,0.26,0.1,0.64,0.47,1.86
Southeast Fairbanks Census Area,6889,128891.0,0.11,2.01,0.03,0.07,0.48,0.42,0.89,0.6,1.69
Spalding County,64192,503592.0,0.08,1.1,0.64,0.01,0.43,0.16,0.49,0.32,1.62
Spartanburg County,297732,3205314.0,0.14,1.5,0.58,0.05,0.42,0.16,0.68,0.38,1.93
Spencer County,38622,544269.0,0.05,2.22,0.02,0.02,0.22,0.14,0.71,0.31,2.01
Spink County,6478,172654.0,0.09,4.4,0.01,0.0,0.46,0.08,1.72,0.77,3.49
Spokane County,490764,5550531.0,0.12,1.82,0.04,0.05,0.35,0.14,0.75,0.42,1.68
Spotsylvania County,130159,2490747.0,0.2,1.64,0.34,0.06,0.18,0.12,0.9,0.4,1.81
St. Bernard Parish,45067,753268.0,0.34,2.49,0.78,0.08,0.74,0.36,0.96,0.76,3.24
St. Charles County,385115,6197320.0,0.07,1.8,0.09,0.04,0.12,0.09,0.88,0.29,1.77
St. Charles Parish,52728,848717.0,0.11,1.58,0.73,0.02,0.33,0.19,0.74,0.41,2.18
St. Clair County,520527,6574216.0,0.09,1.74,0.49,0.02,0.42,0.21,0.7,0.5,1.96
St. Croix County,87142,1103420.0,0.04,1.52,0.01,0.02,0.08,0.06,0.63,0.24,1.34
St. Francis County,26688,191110.0,0.05,0.97,1.2,0.02,0.61,0.23,0.53,0.45,1.87
St. Francois County,66248,475104.0,0.02,1.55,0.06,0.01,0.25,0.1,0.44,0.38,1.38
St. Helena Parish,10509,71416.0,0.0,0.88,0.98,0.0,0.48,0.28,0.53,0.35,1.55
St. James Parish,21485,355075.0,0.06,1.43,1.74,0.01,0.56,0.3,0.71,0.62,2.78
St. John the Baptist Parish,43565,580163.0,0.13,0.98,1.37,0.02,0.53,0.21,0.73,0.47,2.23
St. Johns County,226578,3110842.0,0.1,1.48,0.08,0.03,0.18,0.09,0.76,0.28,1.36
St. Joseph County,329503,4487596.0,0.26,1.98,0.41,0.04,0.55,0.21,0.86,0.52,2.21
St. Landry Parish,83580,631662.0,0.05,1.26,0.91,0.01,0.65,0.12,0.63,0.46,1.95
St. Lawrence County,110817,1198171.0,0.06,2.32,0.06,0.03,0.57,0.23,0.86,0.57,1.8
St. Louis County,1199833,17517792.0,0.05,1.58,0.43,0.07,0.27,0.13,0.91,0.39,1.79
St. Louis city,314867,3936867.0,0.11,1.29,1.79,0.09,0.91,0.39,1.15,0.88,2.28
St. Lucie County,298763,1922453.0,0.23,0.87,0.28,0.02,0.29,0.12,0.4,0.33,1.12
St. Martin Parish,53609,497032.0,0.07,1.33,0.6,0.01,0.36,0.13,0.56,0.39,1.68
St. Mary Parish,52578,653399.0,0.21,1.54,1.11,0.04,0.6,0.28,0.66,0.65,2.52
St. Mary's County,110979,1454972.0,0.07,1.16,0.21,0.04,0.13,0.07,0.68,0.24,1.25
St. Tammany Parish,249201,2879321.0,0.09,1.33,0.2,0.02,0.19,0.11,0.67,0.28,1.38
